year,total_student_registered,total_pass,pass_rate,grade_a,grade_b,grade_c,grade_d,grade_e
2015,"88,488",46560,55.88,108,1085,3292,6093,35982
2016,"115,200",55753,62.18,405,2801,5595,8835,38117
2017,"99,700",63668,63.84,424,2464,5000,9123,46657
2018,"113,300",76034,67.07,408,2222,6041,15180,52183
2019,"115,200",79052,68.62,443,2430,5847,14100,56232
2020,NA,NA,100,NA,NA,NA,NA,NA
2021,"114,180",72016,65.65,1753,5215,11634,23499,29915
2022,"128,136",90950,71,1049,7232,19053,31166,32450
2023,"137,412",98460,71.6,1673,6964,18308,34246,37269
2024,"137,040",106351,79,2216,9701,22675,36683,35076
2025,146720,122473,83.47,3003,9901,28801,45859,34909